ref,item,note,amount,interest_rate,interest,recur,category,date_start,
1,testitem 232,testnote 143,230.52,0.0,0.0,0,default,2023-03-09,
2,testitem 56,testnote 294,185.99,0.0,0.0,0,default,2023-03-09,
3,testitem 97,testnote 202,62.86,0.0,0.0,0,default,2023-03-09,
4,testitem 212,testnote 4,105.63,0.0,0.0,0,default,2023-03-09,
5,testitem 294,testnote 29,278.99,0.0,0.0,0,default,2023-03-09,
6,testitem 181,testnote 203,62.58,0.0,0.0,0,default,2023-03-09,
7,testitem 298,testnote 113,61.32,0.0,0.0,0,default,2023-03-09,
8,testitem 192,testnote 79,45.22,0.0,0.0,0,default,2023-03-09,
9,testitem 260,testnote 85,19.62,0.0,0.0,0,default,2023-03-09,
10,reset for testing,testnote 93,276.45,0.0,0.0,0,default,2023-03-09,
11,testitem 296,testnote 222,175.79,0.0,0.0,0,default,2023-03-09,
12,testitem 212,testnote 295,20.75,0.0,0.0,0,default,2023-03-09,
13,testitem 218,testnote 74,130.4,0.0,0.0,0,default,2023-03-09,
14,testitem 128,testnote 55,265.89,0.0,0.0,0,default,2023-03-09,
15,testitem 187,testnote 286,95.36,0.0,0.0,0,default,2023-03-09,
16,testitem 25,testnote 0,201.62,0.0,0.0,0,default,2023-03-09,
17,testitem 136,testnote 163,150.07,0.0,0.0,0,default,2023-03-09,
18,testitem 261,testnote 279,178.85,0.0,0.0,0,default,2023-03-09,
19,testitem 78,testnote 166,34.62,0.0,0.0,0,default,2023-03-09,
20,testitem 253,testnote 165,178.37,0.0,0.0,0,default,2023-03-09,
21,testitem 162,testnote 215,103.9,0.0,0.0,0,default,2023-03-09,
23,testitem 220,testnote 77,44.27,0.0,0.0,0,default,2023-03-09,
24,testitem 53,testnote 90,68.1,0.0,0.0,0,default,2023-03-09,
25,testitem 65,testnote 190,219.44,0.0,0.0,0,default,2023-03-09,
26,testitem 79,testnote 65,200.25,0.0,0.0,0,default,2023-03-09,
27,testitem 2,testnote 215,213.34,0.0,0.0,0,default,2023-03-09,
28,testitem 298,testnote 156,84.2,0.0,0.0,0,default,2023-03-09,
29,testitem 116,testnote 106,287.6,0.0,0.0,0,default,2023-03-09,
30,testitem 276,testnote 102,24.14,0.0,0.0,0,default,2023-03-09,
31,testitem 94,testnote 95,17.77,0.0,0.0,0,default,2023-03-09,
32,testitem 201,testnote 175,24.32,0.0,0.0,0,default,2023-03-09,
33,testitem 106,testnote 226,184.88,0.0,0.0,0,default,2023-03-09,
34,testitem 13,testnote 83,228.82,0.0,0.0,0,default,2023-03-09,
35,testitem 236,testnote 20,61.08,0.0,0.0,0,default,2023-03-09,
36,testitem 13,testnote 116,295.58,0.0,0.0,0,default,2023-03-09,
37,testitem 58,testnote 266,117.5,0.0,0.0,0,default,2023-03-09,
38,testitem 267,testnote 76,150.6,0.0,0.0,0,default,2023-03-09,
39,testitem 145,testnote 286,246.79,0.0,0.0,0,default,2023-03-09,
40,testitem 134,testnote 96,275.68,0.0,0.0,0,default,2023-03-09,
41,testitem 196,testnote 271,7.64,0.0,0.0,0,default,2023-03-09,
42,testitem 47,testnote 202,176.64,0.0,0.0,0,default,2023-03-09,
43,testitem 175,testnote 159,198.78,0.0,0.0,0,default,2023-03-09,
44,testitem 253,testnote 30,297.33,0.0,0.0,0,default,2023-03-09,
45,testitem 116,testnote 28,42.67,0.0,0.0,0,default,2023-03-09,
46,testitem 4,testnote 255,120.17,0.0,0.0,0,default,2023-03-09,
47,testitem 218,testnote 200,205.76,0.0,0.0,0,default,2023-03-09,
48,testitem 43,testnote 132,174.87,0.0,0.0,0,default,2023-03-09,
49,testitem 199,testnote 25,57.0,0.0,0.0,0,default,2023-03-09,
50,testitem 94,testnote 210,184.2,0.0,0.0,0,default,2023-03-09,
51,testitem 28,testnote 106,105.51,0.0,0.0,0,default,2023-03-09,
52,testitem 123,testnote 285,60.53,0.0,0.0,0,default,2023-03-09,
53,testitem 124,testnote 91,11.45,0.0,0.0,0,default,2023-03-09,
54,testitem 129,testnote 262,130.04,0.0,0.0,0,default,2023-03-09,
55,testitem 198,testnote 219,248.24,0.0,0.0,0,default,2023-03-09,
56,testitem 206,testnote 134,257.15,0.0,0.0,0,default,2023-03-09,
57,testitem 176,testnote 43,162.58,0.0,0.0,0,default,2023-03-09,
58,testitem 98,testnote 12,251.04,0.0,0.0,0,default,2023-03-09,
59,testitem 51,testnote 51,110.06,0.0,0.0,0,default,2023-03-09,
60,testitem 21,testnote 232,267.07,0.0,0.0,0,default,2023-03-09,
61,testitem 279,testnote 39,156.16,0.0,0.0,0,default,2023-03-09,
62,testitem 138,testnote 252,59.8,0.0,0.0,0,default,2023-03-09,
63,testitem 99,testnote 101,30.67,0.0,0.0,0,default,2023-03-09,
64,testitem 187,testnote 109,94.99,0.0,0.0,0,default,2023-03-09,
65,testitem 100,testnote 69,2.38,0.0,0.0,0,default,2023-03-09,
66,testitem 141,testnote 222,269.38,0.0,0.0,0,default,2023-03-09,
67,testitem 142,testnote 1,166.7,0.0,0.0,0,default,2023-03-09,
68,testitem 230,testnote 224,33.82,0.0,0.0,0,default,2023-03-09,
69,testitem 15,testnote 132,43.75,0.0,0.0,0,default,2023-03-09,
70,testitem 211,testnote 290,1.69,0.0,0.0,0,default,2023-03-09,
71,testitem 271,testnote 46,164.48,0.0,0.0,0,default,2023-03-09,
72,testitem 292,testnote 184,147.61,0.0,0.0,0,default,2023-03-09,
73,testitem 150,testnote 148,93.32,0.0,0.0,0,default,2023-03-09,
74,testitem 284,testnote 289,273.3,0.0,0.0,0,default,2023-03-09,
75,testitem 87,testnote 54,141.09,0.0,0.0,0,default,2023-03-09,
76,testitem 184,testnote 141,192.52,0.0,0.0,0,default,2023-03-09,
77,testitem 295,testnote 16,204.92,0.0,0.0,0,default,2023-03-09,
78,testitem 164,testnote 151,68.39,0.0,0.0,0,default,2023-03-09,
79,testitem 3,testnote 136,172.55,0.0,0.0,0,default,2023-03-09,
80,testitem 104,testnote 81,55.48,0.0,0.0,0,default,2023-03-09,
81,testitem 212,testnote 271,51.09,0.0,0.0,0,default,2023-03-09,
82,testitem 72,testnote 81,217.0,0.0,0.0,0,default,2023-03-09,
83,testitem 296,testnote 111,56.92,0.0,0.0,0,default,2023-03-09,
84,testitem 279,testnote 275,4.03,0.0,0.0,0,default,2023-03-09,
85,testitem 72,testnote 141,93.25,0.0,0.0,0,default,2023-03-09,
86,testitem 68,testnote 193,199.52,0.0,0.0,0,default,2023-03-09,
87,testitem 60,testnote 7,185.83,0.0,0.0,0,default,2023-03-09,
88,testitem 227,testnote 175,161.02,0.0,0.0,0,default,2023-03-09,
89,testitem 266,testnote 268,51.88,0.0,0.0,0,default,2023-03-09,
90,testitem 289,testnote 78,153.55,0.0,0.0,0,default,2023-03-09,
91,testitem 278,testnote 240,268.7,0.0,0.0,0,default,2023-03-10,
92,testitem 31,testnote 256,253.81,0.0,0.0,0,default,2023-03-10,
93,testitem 116,testnote 176,89.77,0.0,0.0,0,default,2023-03-10,
94,testitem 135,testnote 127,237.12,0.0,0.0,0,default,2023-03-10,
95,testitem 282,testnote 265,104.3,0.0,0.0,0,default,2023-03-09,
96,testitem 52,testnote 197,184.59,0.0,0.0,0,default,2023-03-09,
97,testitem 209,testnote 285,55.18,0.0,0.0,0,default,2023-03-10,
98,testitem 64,testnote 280,8.98,0.0,0.0,0,default,2023-03-10,
99,testitem 55,testnote 155,96.44,0.0,0.0,0,default,2023-03-10,
100,testitem 212,testnote 19,250.68,0.0,0.0,0,default,2023-03-10,
101,testitem 286,testnote 54,132.18,0.0,0.0,0,default,2023-03-09,
102,testitem 70,testnote 18,18.87,0.0,0.0,0,default,2023-03-10,
103,testitem 122,testnote 281,137.85,0.0,0.0,0,default,2023-03-10,
104,testitem 24,testnote 71,113.35,0.0,0.0,0,default,2023-03-10,
105,testitem 80,testnote 298,152.52,0.0,0.0,0,default,2023-03-10,
106,testitem 20,testnote 226,29.26,0.0,0.0,0,default,2023-03-10,
107,testitem 51,testnote 33,215.98,0.0,0.0,0,default,2023-03-10,
108,testitem 30,testnote 184,245.41,0.0,0.0,0,default,2023-03-10,
109,testitem 259,testnote 44,108.46,0.0,0.0,0,default,2023-03-10,
110,testitem 203,testnote 219,190.39,0.0,0.0,0,default,2023-03-10,
111,testitem 169,testnote 62,36.95,0.0,0.0,0,default,2023-03-10,
112,testitem 45,testnote 210,212.13,0.0,0.0,0,default,2023-03-10,
113,testitem 256,testnote 193,207.91,0.0,0.0,0,default,2023-03-10,
114,testitem 123,testnote 170,40.93,0.0,0.0,0,default,2023-03-10,
115,testitem 132,testnote 212,209.97,0.0,0.0,0,default,2023-03-10,
116,testitem 283,testnote 245,267.07,0.0,0.0,0,default,2023-03-10,
117,testitem 83,testnote 62,195.52,0.0,0.0,0,default,2023-03-10,
118,testitem 102,testnote 172,26.09,0.0,0.0,0,default,2023-03-10,
119,testitem 172,testnote 217,154.14,0.0,0.0,0,default,2023-03-10,
120,testitem 175,testnote 236,91.48,0.0,0.0,0,default,2023-03-10,
121,testitem 210,testnote 123,212.2,0.0,0.0,0,default,2023-03-10,
122,test,test,63.0,0.0,0.0,0,default,2022-01-01,
123,hi,fklwej,21.0,0.0,0.0,0,default,2022-04-04,
124,hi,fklwej,21.0,0.0,0.0,0,default,2022-04-04,
125,hi,fklwej,21.0,0.0,0.0,0,default,2022-04-04,
126,hi,fklwej,21.0,0.0,0.0,0,default,2022-04-04,
127,hi,fklwej,21.0,0.0,0.0,0,default,2022-04-04,
128,hi,fklwej,21.0,0.0,0.0,0,default,2022-04-04,
129,hi,fkljwe,21.0,0.0,0.0,0,default,2022-01-01,
130,hi,fkljwe,21.0,0.0,0.0,0,default,2022-01-01,
131,hi,fkljwe,21.0,0.0,0.0,0,default,2022-01-01,
132,hi,fkljwe,21.0,0.0,0.0,0,default,2022-01-01,
133,hi,klfwejw,21.0,0.0,0.0,0,default,2022-01-01,
134,hi,klfwejw,21.0,0.0,0.0,0,default,2022-01-01,
135,netflix,netflix subscription,24.0,0.0,0.0,0,default,2022-01-02,
136,netfli,netflix subscription,24.0,0.0,0.0,0,default,2022-01-02,
137,testitem 260,testnote 195,176.71,0.0,0.0,0,default,2023-03-10,
138,testitem 74,testnote 84,121.52,0.0,0.0,0,default,2023-03-10,
139,testitem 22,testnote 18,153.49,0.0,0.0,0,default,2023-03-10,
140,testitem 43,testnote 15,232.55,0.0,0.0,0,default,2023-03-10,
141,fjkelw,rjfwkel,321.0,0.0,0.0,0,default,2022-02-01,
142,hi,fwejkl,32.0,0.0,0.0,0,default,2022-01-01,
143,ffh,fklwej,32.0,0.0,0.0,0,default,2022-01-01,
144,ffh,fklwej,69.0,0.0,0.0,0,default,2022-01-01,
145,mastercard,credit,1000.0,0.0,0.0,0,default,2022-01-01,
146,testitem 50,testnote 111,27.17,0.0,0.0,0,default,2023-03-10,
147,debit,debit card,100.0,0.0,0.0,0,default,2022-01-01,
148,testitem 185,testnote 59,167.28,0.0,0.0,0,default,2023-03-10,
149,testitem 118,testnote 257,179.35,0.0,0.0,0,default,2023-03-10,
150,testitem 183,testnote 164,70.81,0.0,0.0,0,default,2023-03-10,
151,testitem 196,testnote 162,118.3,0.0,0.0,0,default,2023-03-10,
152,testitem 114,testnote 79,124.34,0.0,0.0,0,default,2023-03-10,
153,testitem 235,testnote 37,219.03,0.0,0.0,0,default,2023-03-10,
154,testitem 172,testnote 196,172.62,0.0,0.0,0,default,2023-03-10,
155,testitem 279,testnote 202,212.25,0.0,0.0,0,default,2023-03-10,
156,testitem 211,testnote 88,65.06,0.0,0.0,0,default,2023-03-10,
157,testitem 220,testnote 285,84.93,0.0,0.0,0,default,2023-03-10,
158,testitem 153,testnote 94,132.2,0.0,0.0,0,default,2023-03-10,
159,testitem 124,testnote 138,134.95,0.0,0.0,0,default,2023-03-10,
160,testitem 42,testnote 217,290.94,0.0,0.0,0,default,2023-03-10,
161,asd,insert from ui,12.0,0.0,0.0,0,default,2023-03-09,
162,testestest,testingggg,50.12,0.0,0.0,0,default,2023-03-09,
163,teste,testingggg,501.12,0.0,0.0,0,default,2023-03-09,
164,testitem 110,testnote 297,125.6,0.0,0.0,0,default,2023-03-10,
165,testitem 71,testnote 153,171.21,0.0,0.0,0,default,2023-03-10,
166,testitem 207,testnote 50,1.49,0.0,0.0,0,default,2023-03-10,
167,testitem 118,testnote 203,92.36,0.0,0.0,0,default,2023-03-10,
168,testitem 233,testnote 155,186.18,0.0,0.0,0,default,2023-03-10,
169,testitem 217,testnote 203,129.69,0.0,0.0,0,default,2023-03-10,
170,testitem 34,testnote 239,30.43,0.0,0.0,0,default,2023-03-10,
171,testitem 1,testnote 35,137.56,0.0,0.0,0,default,2023-03-10,
172,testitem 201,testnote 104,241.44,0.0,0.0,0,default,2023-03-10,
173,testitem 9,testnote 269,217.05,0.0,0.0,0,default,2023-03-10,
174,testitem 122,testnote 71,55.05,0.0,0.0,0,default,2023-03-10,
175,testitem 59,testnote 282,271.38,0.0,0.0,0,default,2023-03-10,
176,testitem 167,testnote 155,214.38,0.0,0.0,0,default,2023-03-10,
177,testitem 211,testnote 70,85.76,0.0,0.0,0,default,2023-03-10,
178,testitem 277,testnote 33,80.32,0.0,0.0,0,default,2023-03-10,
179,testitem 247,testnote 84,57.45,0.0,0.0,0,default,2023-03-10,
180,testitem 32,testnote 86,256.35,0.0,0.0,0,default,2023-03-10,
181,testitem 77,testnote 255,127.71,0.0,0.0,0,default,2023-03-10,
182,testitem 168,testnote 295,139.09,0.0,0.0,0,default,2023-03-10,
183,testitem 37,testnote 180,290.83,0.0,0.0,0,default,2023-03-10,
184,testitem 26,testnote 209,230.81,0.0,0.0,0,default,2023-03-10,
185,testitem 83,testnote 242,199.24,0.0,0.0,0,default,2023-03-10,
186,testitem 178,testnote 271,139.22,0.0,0.0,0,default,2023-03-10,
187,testitem 213,testnote 115,85.04,0.0,0.0,0,default,2023-03-10,
188,testitem 153,testnote 224,293.05,0.0,0.0,0,default,2023-03-10,
189,testitem 7,testnote 130,106.01,0.0,0.0,0,default,2023-03-10,
190,testitem 207,testnote 122,129.75,0.0,0.0,0,default,2023-03-10,
191,testitem 178,testnote 296,160.46,0.0,0.0,0,default,2023-03-10,
